City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,kaitangata,-46.2817,169.8464,13.27,74,64,2.96,NZ,1680555932
182,kropotkin,45.4375,40.5756,8.42,91,61,1.99,RU,1680555815
183,eyl,7.9803,49.8164,27.69,70,27,5.41,SO,1680555933
184,beloha,-25.1667,45.05,22.88,88,30,4.97,MG,1680555933
185,ponta do sol,32.6667,-17.1,18.35,60,38,4.8,PT,1680555934
186,talnakh,69.4865,88.3972,-33.64,99,66,2.37,RU,1680555934
187,maniitsoq,65.4167,-52.9,-0.24,71,51,2.85,GL,1680555935
188,atar,20.5169,-13.0499,30.0,8,35,4.61,MR,1680555935
189,cedar city,37.6775,-113.0619,1.33,93,100,8.75,US,1680555936
190,chicama,-7.8447,-79.1469,29.3,66,93,4.11,PE,1680555936
191,pisco,-13.7,-76.2167,27.03,69,0,8.23,PE,1680555937
192,yurty,56.0498,97.6348,-2.12,76,100,6.53,RU,1680555648
193,kyra,49.5776,111.9753,-14.58,81,1,1.86,RU,1680555939
194,carnarvon,-24.8667,113.6333,23.87,74,8,6.13,AU,1680555939
195,mandera,3.9366,41.867,30.54,51,5,1.52,KE,1680555940
196,copacabana,6.3463,-75.5089,27.24,82,100,1.12,CO,1680555940
197,avarua,-21.2078,-159.775,27.03,61,98,3.6,CK,1680555841
198,fort nelson,58.8053,-122.7002,-2.48,83,100,3.54,CA,1680555941
199,irbeyskoye,55.6428,95.4522,-1.39,68,100,6.87,RU,1680555941
200,mehamn,71.0357,27.8492,0.97,69,40,10.8,NO,1680555942
201,zhigansk,66.7697,123.3711,-13.47,99,99,4.22,RU,1680555942
202,awbari,26.5921,12.7805,16.99,10,0,4.03,LY,1680555943
203,trairi,-3.2778,-39.2689,25.23,83,38,1.92,BR,1680555944
204,simpang,-1.2667,104.0833,23.39,97,100,0.78,ID,1680555945
205,leningradskiy,69.3833,178.4167,-26.66,91,8,1.31,RU,1680555945
206,gboko,7.3179,8.9951,29.94,56,100,7.0,NG,1680555945
207,houston,29.7633,-95.3633,32.45,64,75,6.17,US,1680555946
208,labuhan,-6.8844,112.2051,25.12,83,100,2.96,ID,1680555947
209,bourg-en-bresse,46.1667,5.1667,5.9,65,0,3.78,FR,1680555949
210,batagay-alyta,67.8006,130.4114,-22.11,88,17,2.95,RU,1680555950
211,cidreira,-30.1811,-50.2056,22.69,72,27,6.18,BR,1680555846
212,polunochnoye,60.8697,60.4153,-1.73,96,100,3.31,RU,1680555951
213,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,60,0,6.0,RU,1680555953
214,nueva gerona,21.8833,-82.8,28.43,62,10,5.74,CU,1680555954
215,nome,64.5011,-165.4064,-9.91,78,75,2.06,US,1680555955
216,gull lake,50.1001,-108.4847,-4.98,84,100,3.22,CA,1680555956
217,aquiraz,-3.9014,-38.3911,28.05,80,71,2.74,BR,1680555956
218,mbuji-mayi,-6.15,23.6,21.11,94,83,0.86,CD,1680555859
219,tabou,4.423,-7.3528,26.55,85,32,2.49,CI,1680555958
220,fukue,32.6881,128.8419,16.57,81,100,5.29,JP,1680555958
221,harper,4.375,-7.7169,26.5,85,40,2.98,LR,1680555958
222,sioux lookout,50.1001,-91.917,-4.12,76,100,3.95,CA,1680555959
223,auki,-8.7676,160.7034,27.27,79,95,1.54,SB,1680555959
224,asau,46.4333,26.4,3.51,90,100,2.54,RO,1680555960
225,aklavik,68.2191,-135.0107,-9.64,82,83,0.99,CA,1680555960
226,russellville,35.2784,-93.1338,28.41,61,24,5.22,US,1680555961
227,rajbiraj,26.5333,86.75,22.5,51,6,3.0,NP,1680555962
228,tres picos,15.8667,-93.5333,30.99,63,22,4.47,MX,1680555963
229,meadow lake,34.8014,-106.5436,24.27,6,0,13.09,US,1680555964
230,ballarat,-37.5662,143.8496,12.54,78,28,0.45,AU,1680555965
231,narrabri,-30.3167,149.7833,15.85,82,17,1.79,AU,1680555965
232,saskylakh,71.9167,114.0833,-22.02,97,97,5.13,RU,1680555966
233,ormara,25.2088,64.6357,23.6,64,0,6.18,PK,1680555966
234,vilhena,-12.7406,-60.1458,23.45,94,82,1.03,BR,1680555966
235,severo-kurilsk,50.6789,156.125,0.02,91,77,6.31,RU,1680555967
236,pa sang,18.5262,98.9394,24.11,47,4,0.63,TH,1680555968
237,ancud,-41.8697,-73.8203,14.05,73,6,2.69,CL,1680555773
238,saint-philippe,-21.3585,55.7679,23.77,81,100,4.74,RE,1680555968
239,smiltene,57.4244,25.9016,-1.36,93,99,3.17,LV,1680555969
240,teknaf,20.8624,92.3058,22.54,88,7,1.82,BD,1680555786
241,agadez,19.75,10.25,23.93,8,65,2.26,NE,1680555970
242,nouadhibou,20.931,-17.0347,20.99,73,65,9.26,MR,1680555970
243,tashla,51.7716,52.7427,8.53,56,42,2.93,RU,1680555971
244,straumen,63.8709,11.2999,3.0,99,100,3.3,NO,1680555971
245,buala,-8.145,159.5921,27.85,80,98,2.9,SB,1680555972
246,berga,60.392,5.328,3.93,86,20,2.06,NO,1680555769
247,mikhaylovka,50.06,43.2379,10.44,80,92,2.99,RU,1680555973
248,kieta,-6.2167,155.6333,27.05,82,73,0.94,PG,1680555974
249,mackay,-21.15,149.2,23.71,84,58,3.56,AU,1680555974
250,okhotsk,59.3833,143.3,-11.25,90,100,2.59,RU,1680555750
251,khatanga,71.9667,102.5,-26.92,96,98,4.37,RU,1680555975
252,esperance,-33.8667,121.9,18.73,84,98,2.46,AU,1680555976
253,port hedland,-20.3167,118.5667,27.03,89,10,1.54,AU,1680555976
254,namibe,-15.1961,12.1522,25.06,67,95,2.59,AO,1680555977
255,necochea,-38.5473,-58.7368,19.05,69,0,5.2,AR,1680555895
256,port hardy,50.6996,-127.4199,6.94,59,42,6.07,CA,1680555977
257,provideniya,64.3833,-173.3,-11.94,67,75,7.0,RU,1680555978
258,vangaindrano,-23.35,47.6,22.91,91,46,0.72,MG,1680555978
259,adrar,20.5022,-10.0711,26.4,6,0,1.87,MR,1680555979
260,maceio,-9.6658,-35.7353,27.69,78,40,5.14,BR,1680555863
261,los llanos de aridane,28.6585,-17.9182,18.4,85,20,8.23,ES,1680555979
262,berea,41.3662,-81.8543,19.63,44,100,2.57,US,1680555980
263,sur,22.5667,59.5289,24.12,58,5,2.48,OM,1680555980
264,pingliang,35.5392,106.6861,1.35,90,96,1.49,CN,1680555981
265,ishigaki,24.3448,124.1572,22.44,64,54,8.45,JP,1680555981
266,general cepeda,25.3833,-101.45,32.26,11,96,4.5,MX,1680555981
267,harer,9.3094,42.1258,16.04,82,99,0.74,ET,1680555982
268,mahibadhoo,3.7833,72.9667,27.54,75,9,3.2,MV,1680555728
269,la huacana,18.9667,-101.8167,36.87,16,3,2.57,MX,1680555983
270,kronshtadt,59.9936,29.7736,0.1,92,99,4.23,RU,1680555983
271,dingle,10.9995,122.6711,23.74,90,100,2.51,PH,1680555984
272,salaya,22.3167,69.6,24.69,79,7,5.12,IN,1680555941
273,airai,-8.9266,125.4092,14.11,87,99,0.91,TL,1680555985
274,sturgeon bay,44.8342,-87.377,13.2,33,0,4.12,US,1680555985
275,dikson,73.5069,80.5464,-27.49,99,100,4.99,RU,1680555986
276,myitkyina,25.3833,97.4,15.81,94,6,1.12,MM,1680555986
277,teya,60.3778,92.6267,-9.69,96,53,1.73,RU,1680555988
278,quelimane,-17.8786,36.8883,21.71,85,9,1.61,MZ,1680555989
279,iskandar,41.5539,69.7008,9.47,82,100,0.95,UZ,1680555990
280,ust-nera,64.5667,143.2,-20.41,98,67,2.61,RU,1680555991
281,meulaboh,4.1363,96.1285,24.41,88,94,1.99,ID,1680555993
282,upernavik,72.7868,-56.1549,-25.26,96,60,1.79,GL,1680555994
283,sawakin,19.1059,37.3321,23.45,56,97,2.39,SD,1680555994
284,orocue,4.7912,-71.3354,33.48,38,98,2.12,CO,1680555995
285,gamba,-2.65,10.0,26.04,83,100,2.38,GA,1680555727
286,salvador,13.8333,-88.9167,32.25,20,22,2.88,SV,1680555995
287,seoul,37.5683,126.9778,13.69,27,100,1.76,KR,1680555908
288,conceicao da barra,-18.5933,-39.7322,25.0,69,100,3.77,BR,1680555996
289,birao,10.2849,22.7882,26.69,13,7,2.43,CF,1680555997
290,codrington,-38.2667,141.9667,10.37,91,49,1.67,AU,1680555998
291,matipo,-20.2839,-42.3411,20.52,87,100,0.94,BR,1680555999
292,ust-kan,50.9276,84.761,-6.84,75,21,1.4,RU,1680555999
293,pangnirtung,66.1451,-65.7125,-13.29,83,53,1.1,CA,1680556000
294,emerald,-23.5333,148.1667,19.08,91,5,3.1,AU,1680556000
295,kudahuvadhoo,2.6708,72.8944,27.63,71,14,2.08,MV,1680556001
296,magadan,59.5667,150.8,-13.43,74,16,3.08,RU,1680555773
297,salta,-24.7859,-65.4117,23.1,83,94,0.89,AR,1680555949
298,trinidad,-14.8333,-64.9,31.99,58,40,2.06,BO,1680556002
299,sao lourenco do sul,-31.3653,-51.9783,21.94,74,78,5.02,BR,1680556003
300,nizwa,22.9333,57.5333,20.83,30,0,1.16,OM,1680555855
301,sale,34.0389,-6.8166,16.53,100,14,0.0,MA,1680555933
302,taltal,-25.4,-70.4833,21.79,81,44,1.67,CL,1680556006
303,birigui,-21.2886,-50.34,25.17,70,0,2.26,BR,1680556007
304,kumluca,36.3703,30.2869,15.24,61,36,2.6,TR,1680555931
305,viesca,25.35,-102.8,35.16,9,100,1.38,MX,1680556008
306,barrancas,10.9576,-72.7877,35.43,37,36,4.77,CO,1680556008
307,broken hill,-31.95,141.4333,14.79,36,0,2.91,AU,1680556008
308,ambon,-3.6954,128.1814,23.08,94,40,4.12,ID,1680556009
309,xuddur,4.1213,43.8894,28.75,52,100,3.46,SO,1680556009
310,arlit,18.7369,7.3853,26.64,6,95,3.32,NE,1680556010
311,carauari,-4.8828,-66.8958,26.57,83,94,1.17,BR,1680556011
312,witu,-2.3889,40.4382,28.09,82,25,3.07,KE,1680556011
313,jian,27.1172,114.9793,22.42,82,100,6.69,CN,1680556012
314,biu,10.6129,12.1946,28.66,16,40,2.81,NG,1680556012
315,awjilah,29.1081,21.2869,18.94,30,0,3.9,LY,1680556013
316,chapada dos guimaraes,-15.4606,-55.7497,24.81,81,34,1.57,BR,1680556013
317,nyrob,60.733,56.7202,1.36,98,100,2.64,RU,1680556014
318,bria,6.5423,21.9863,26.47,34,31,1.87,CF,1680556014
319,ilo,-17.6394,-71.3375,26.48,69,0,6.17,PE,1680556015
320,verkhnyaya maksakovka,61.635,50.9674,0.01,74,0,6.0,RU,1680556015
321,bambanglipuro,-7.95,110.2833,23.46,91,100,2.38,ID,1680556016
322,arica,-18.475,-70.3042,27.75,61,0,5.14,CL,1680556017
323,menongue,-14.6585,17.691,17.08,89,87,1.95,AO,1680556017
324,baruun-urt,46.6806,113.2792,-7.35,40,82,1.81,MN,1680556018
325,lalin,42.7167,-8.1167,9.05,72,100,0.99,ES,1680556018
326,tumut,-35.3,148.2167,14.92,83,79,1.48,AU,1680556019
327,seltso,53.3675,34.1,6.27,100,99,4.0,RU,1680556019
328,itarema,-2.9248,-39.9167,25.48,81,77,2.51,BR,1680556020
329,gat,31.61,34.7642,20.78,44,0,2.56,IL,1680556020
330,sibiti,-3.6819,13.3499,21.08,97,98,0.54,CG,1680556021
331,manali,13.1667,80.2667,29.05,86,100,5.61,IN,1680556021
332,tuktoyaktuk,69.4541,-133.0374,-18.0,71,75,0.0,CA,1680556021
333,valparaiso,-33.0393,-71.6273,25.13,45,0,6.69,CL,1680555979
334,dig,27.4667,77.3333,24.94,33,54,1.54,IN,1680556022
335,aljezur,37.3191,-8.8033,13.86,80,100,5.75,PT,1680556021
336,lufilufi,-13.8745,-171.5986,27.66,74,100,1.9,WS,1680556024
337,makakilo city,21.3469,-158.0858,27.18,67,0,6.69,US,1680556024
338,miami,25.7743,-80.1937,31.67,69,75,7.2,US,1680555984
339,narsaq,60.9167,-46.05,8.12,80,100,3.18,GL,1680556025
340,leh,34.1667,77.5833,-3.83,88,98,1.63,IN,1680556012
341,port shepstone,-30.7414,30.455,20.13,79,97,7.75,ZA,1680555821
342,grindavik,63.8424,-22.4338,8.26,100,100,14.92,IS,1680556027
343,sambava,-14.2667,50.1667,24.77,88,47,2.03,MG,1680556028
344,hualmay,-11.0964,-77.6139,26.57,72,88,4.14,PE,1680556029
345,san carlos de bariloche,-41.1456,-71.3082,17.86,22,0,7.72,AR,1680556029
346,alofi,-19.0595,-169.9187,26.94,83,75,4.63,NU,1680556030
347,boyabat,41.4689,34.7667,12.79,75,80,0.32,TR,1680556030
348,santa maria da vitoria,-13.3947,-44.1886,27.48,45,78,0.85,BR,1680556031
349,zatoka,46.0725,30.4654,8.29,86,100,3.99,UA,1680556031
350,sinnamary,5.3833,-52.95,26.45,71,67,3.69,GF,1680556032
351,carbonia,39.1672,8.5222,11.36,83,15,3.07,IT,1680555790
352,luganville,-15.5333,167.1667,28.23,79,66,4.43,VU,1680556035
353,beipiao,41.7919,120.7792,5.73,23,100,7.39,CN,1680556036
354,nyirlugos,47.6932,22.0448,1.66,66,81,8.75,HU,1680556037
355,suining,30.508,105.5733,12.9,61,100,4.05,CN,1680556037
356,zhicheng,30.2956,111.5047,12.29,84,100,4.53,CN,1680556038
357,polignano a mare,40.9959,17.2159,11.51,84,100,9.92,IT,1680556038
358,puerto lempira,15.2667,-83.7667,29.08,70,40,6.17,HN,1680556039
359,oyem,1.5995,11.5793,20.77,97,100,1.33,GA,1680556039
360,san policarpo,12.1791,125.5072,25.6,83,100,4.92,PH,1680556040
361,turayf,31.6725,38.6637,17.68,23,0,3.98,SA,1680556027
362,killybegs,54.6333,-8.45,9.03,84,100,7.3,IE,1680556042
363,iwaki,37.05,140.8833,6.53,65,0,1.99,JP,1680556043
364,kamenka,51.3223,42.7678,10.24,63,88,4.33,RU,1680556043
365,priiskovyy,51.9333,116.6333,-7.62,55,10,5.55,RU,1680556044
